movie_name,release_date
特別總集篇 名偵探柯南 vs. 怪盜基德(日語版),2024/03/29
冰室蓮司：日本統一 台灣篇,2024/03/29
蜜鑰,2024/03/29
石門,2024/03/29
超人力霸王布雷薩 THE MOVIE：大怪獸東京決戰,2024/03/30
白晝如焚,2024/04/02
屍咒,2024/04/03
超危險警探,2024/04/03
天魔：惡之初,2024/04/03
劇場版 森林家族 來自芙蕾雅的禮物 中文版,2024/04/03
莎莉,2024/04/03
瓊拜雅：三重人格,2024/04/05
電影版 吹響吧！上低音號～莉茲與青鳥～,2024/04/05
東京公園,2024/04/05
SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,2024/04/10
怪物樵夫,2024/04/11
再愛一次,2024/04/12
窒命危機,2024/04/12
紀伯倫哈利勒：先知,2024/04/12
禁忌之慾,2024/04/12
無法融化的祕密,2024/04/12
劇場版 排球少年!! 垃圾場的決戰,2024/04/12
搬家 4K數位修復版,2024/04/12
OUT,2024/04/12
自戀男神,2024/04/12
偶慾,2024/04/12
非紳士特攻隊,2024/04/16
機動戰士鋼彈 SEED FREEDOM,2024/04/16
神鬼對決,2024/04/19
盜墓奇美拉,2024/04/19
噬血芭蕾,2024/04/19
瑪格麗特戀習題,2024/04/19
日安，朵朵,2024/04/19
給我愛過的前任們,2024/04/19
孤島診療所2022,2024/04/19
鬼天廈,2024/04/19
屍控大賣場,2024/04/23
aespa: WORLD TOUR in Cinemas,2024/04/24
特技玩家,2024/04/24
愛離巢,2024/04/24
不丹沒有槍,2024/04/25
犯罪都市4,2024/04/26
如果我可以冬眠,2024/04/26
邪厄恩典,2024/04/26
非關性愛,2024/04/26
全境炸裂,2024/04/26
背德迷情,2024/04/26
帝國浩劫：美國內戰,2024/04/29
錢不夠用3：全部夠用,2024/04/30
大發明家,2024/04/30
貓的報恩(日文版),2024/04/30
挑戰者,2024/05/01
蜘蛛驚,2024/05/01
少年的漂浪旅程,2024/05/03
慾望的盡頭,2024/05/03
長夜盡頭的微光,2024/05/04
熊出沒．伴我“熊芯”,2024/05/07
猩球崛起：王國誕生,2024/05/08
惡鄰羅曼史,2024/05/10
鬼妻塚,2024/05/10
假面騎士 THE WINTER MOVIE- 葛查多 & GEATS 最強克米GOTCHA大作戰,2024/05/10
短句之國,2024/05/10
我在這裡等你,2024/05/10
幻幻之交,2024/05/11
Silent Love,2024/05/11
夏日的文化洋行,2024/05/14
全面監視,2024/05/17
如果可以再死一次,2024/05/17
九龍城寨之圍城,2024/05/17
小熊維尼2：噬血維尼,2024/05/17
滅世男孩,2024/05/17
日落喜劇,2024/05/17
鴉色刑事組電影版,2024/05/17
魯邦三世 卡里奧斯特羅城 4K數位修復版,2024/05/17
BLOODY ESCAPE：地獄的逃走劇,2024/05/17
沉默筆錄,2024/05/17
刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【前篇】,2024/05/19
芙莉歐莎：瘋狂麥斯傳奇篇章,2024/05/22
不存在的騎士,2024/05/24
踹你死功夫,2024/05/24
馬奎斯之愛與群魔,2024/05/24
來世還作人,2024/05/24
再見哥雅：卡葉爾與布紐爾的最後巡禮,2024/05/24
布紐爾:超現實電影人,2024/05/24
鬼舞村：詛咒起源,2024/05/24
愛情本性論,2024/05/24
花芯蕩漾,2024/05/24
蘇維埃巴士站,2024/05/24
她說,2024/05/24
以愛之茗,2024/05/24
遠方 數位修復版,2024/05/24
被遺忘的人,2024/05/25
特莉絲坦娜,2024/05/25
假面騎士555 20th 復活的天堂,2024/05/25
女僕日記,2024/05/26
青樓怨婦,2024/05/26
朦朧的慾望,2024/05/26
柏格曼的幽靈,2024/05/27
馬奎斯如何成為馬奎斯,2024/05/27
泯滅天使,2024/05/28
安達魯之犬,2024/05/29
自由的幻影,2024/05/30
波紋,2024/05/30
她死了,2024/05/31
嗜殺路人甲,2024/05/31
當殺手戀愛時,2024/05/31
怒火狂猴,2024/05/31
失憶殺神,2024/05/31
那日清晨真令人感到空虛,2024/05/31
八戒,2024/05/31
環南時候,2024/05/31
中產階級拘謹的魅力,2024/06/01
維莉狄雅娜,2024/06/02
