id,movie_page_url,file_path
38,https://boxofficetw.tfai.org.tw/search/21615/%E5%AC%B0%E5%85%92%E8%BD%89%E9%81%8B%E7%AB%99,data\box_office\by_id\038.json
39,https://boxofficetw.tfai.org.tw/search/19186/%E5%A4%A9%E5%9D%91,data\box_office\by_id\039.json
40,https://boxofficetw.tfai.org.tw/search/28010/%E5%AF%82%E5%99%A4%E8%A8%88%E7%95%AB,data\box_office\by_id\040.json
41,https://boxofficetw.tfai.org.tw/search/10561/%E5%B1%8D%E8%90%BD%E4%B9%8B%E5%9F%8E,data\box_office\by_id\041.json
42,https://boxofficetw.tfai.org.tw/search/13706/BRING%20THE%20SOUL:%20THE%20MOVIE,data\box_office\by_id\042.json
43,https://boxofficetw.tfai.org.tw/search/28349/%E8%AE%8A%E8%BA%AB%E6%A9%9F%E9%95%B7,data\box_office\by_id\043.json
44,https://boxofficetw.tfai.org.tw/search/15495/%E5%A4%A7%E7%95%AB%E7%89%B9%E5%8B%99,data\box_office\by_id\044.json
45,https://boxofficetw.tfai.org.tw/search/21222/%E7%8A%AF%E7%BD%AA%E9%83%BD%E5%B8%822,data\box_office\by_id\045.json
46,https://boxofficetw.tfai.org.tw/search/23589/BTS:%20YET%20TO%20COME%20IN%20CINEMAS,data\box_office\by_id\046.json
47,https://boxofficetw.tfai.org.tw/search/16514/%E5%8C%97%E6%B5%B7%E5%B0%8F%E8%8B%B1%E9%9B%84,data\box_office\by_id\047.json
48,https://boxofficetw.tfai.org.tw/search/25771/%E6%88%91%E7%9A%84%E5%AE%8C%E7%BE%8E%E6%97%A5%E5%B8%B8,data\box_office\by_id\048.json
49,https://boxofficetw.tfai.org.tw/search/2619/%E5%AE%89%E5%A8%9C%E8%8F%AF%E7%89%B9-%E8%A4%87%E5%AF%A9,data\box_office\by_id\049.json
50,https://boxofficetw.tfai.org.tw/search/16621/%E5%88%9D%E5%BF%83,data\box_office\by_id\050.json
51,https://boxofficetw.tfai.org.tw/search/28461/%E6%B9%84%E5%85%AC%E6%B2%B3%E6%B0%B4%E9%AC%BC,data\box_office\by_id\051.json
52,https://boxofficetw.tfai.org.tw/search/15392/%E5%8F%A4%E6%9B%BC%E7%AB%A5,data\box_office\by_id\052.json
53,https://boxofficetw.tfai.org.tw/search/26140/%E5%AF%8C%E9%83%BD%E9%9D%92%E5%B9%B4,data\box_office\by_id\053.json
54,https://boxofficetw.tfai.org.tw/search/6144/%E6%A8%A1%E7%8A%AF%E7%94%9F,data\box_office\by_id\054.json
55,https://boxofficetw.tfai.org.tw/search/26543/%E9%AC%BC%E8%81%B2%E6%B3%A3,data\box_office\by_id\055.json
56,https://boxofficetw.tfai.org.tw/search/6950/%E5%B1%8D%E7%B4%84,data\box_office\by_id\056.json
57,https://boxofficetw.tfai.org.tw/search/27654/%E9%87%91%E5%AD%AB%E7%88%86%E5%AF%8C%E6%94%BB%E7%95%A5,data\box_office\by_id\057.json
58,https://boxofficetw.tfai.org.tw/search/24311/%E9%82%AA%E5%8E%84,data\box_office\by_id\058.json
59,https://boxofficetw.tfai.org.tw/search/12411/%E9%99%90%E6%99%82%E5%A5%BD%E5%8F%8B,data\box_office\by_id\059.json
60,https://boxofficetw.tfai.org.tw/search/10739/%E8%8A%AE%E6%B0%8F9.6,data\box_office\by_id\060.json
61,https://boxofficetw.tfai.org.tw/search/15093/%E8%91%89%E5%95%8F4%EF%BC%9A%E5%AE%8C%E7%B5%90%E7%AF%87,data\box_office\by_id\061.json
62,https://boxofficetw.tfai.org.tw/search/2765/%E5%AF%92%E6%88%B02,data\box_office\by_id\062.json
63,https://boxofficetw.tfai.org.tw/search/17915/%E6%8B%86%E5%BD%88%E5%B0%88%E5%AE%B62,data\box_office\by_id\063.json
64,https://boxofficetw.tfai.org.tw/search/27383/%E4%B9%9D%E9%BE%8D%E5%9F%8E%E5%AF%A8%E4%B9%8B%E5%9C%8D%E5%9F%8E,data\box_office\by_id\064.json
65,https://boxofficetw.tfai.org.tw/search/4591/%E6%93%BA%E6%B8%A1%E4%BA%BA(%E6%95%B8%E4%BD%8D2D%E7%89%88),data\box_office\by_id\065.json
66,https://boxofficetw.tfai.org.tw/search/6723/%E8%BF%BD%E9%BE%8D,data\box_office\by_id\066.json
67,https://boxofficetw.tfai.org.tw/search/10281/%E7%84%A1%E9%9B%99,data\box_office\by_id\067.json
68,https://boxofficetw.tfai.org.tw/search/13362/%E6%8E%83%E6%AF%922%20%E5%A4%A9%E5%9C%B0%E5%B0%8D%E6%B1%BA,data\box_office\by_id\068.json
69,https://boxofficetw.tfai.org.tw/search/26471/%E9%87%91%E6%89%8B%E6%8C%87,data\box_office\by_id\069.json
