id,name
0,千禧曼波
1,KANO
2,巴黎，德州
3,情書
4,音速小子 3
5,她與他們的愛情
6,失樂園
7,無人知曉的夏日清晨
8,坂本龍一:async紐約現場
9,彩雲飛
10,普羅米亞
11,小丑
12,星際效應
13,風兒踢踏踩
14,燃燒女子的畫像
15,誤判
16,我的英雄學院劇場版：英雄新世紀
17,銀翼殺手最終版
18,東邪西毒：終極版(數位粵語版)
19,EYES ON ME : THE MOVIE
20,恐怖份子
21,藍色恐懼：4K數位修復版
22,再見箱舟
23,《少女與戰車 最終章》第1+2話
24,幻愛
25,悄悄告訴她 經典數位修復
26,玩美女人 經典數位修復
27,破碎的擁抱 經典數位修復
28,GIVEN~被贈與的未來 劇場版
29,未來的我們
30,愛在黎明破曉時
31,愛在日落巴黎時
32,法蘭克
33,龍貓
34,鬼影
35,墮落天使  4K數位修復版
36,竊聽風暴
37,我的母親 經典數位修復
38,歡樂時光（上）
39,歡樂時光（下）
40,我愛你，你愛她，她愛他
41,顫抖的慾望 經典數位修復
42,父親
43,女畫家與偷畫賊
44,花束般的戀愛
45,群青戰記
46,魔法少女小圓劇場版 [新篇] 叛逆的物語
47,薩滿
48,花神咖啡館
49,沙丘
50,腦海中的橡皮擦
51,攔截聲命線
52,心靈遊戲
53,嵐 5x20演唱會電影～回憶全記錄～
54,諸葛四郎─英雄的英雄
55,濁水漂流
56,《少女與戰車 最終章》 第3話
57,偶然與想像
58,青春特調蜂蜜檸檬蘇打
59,GIVEN~被贈與的未來 劇場版：反面的存在
60,藍宇
61,夏日之戀
62,2gether電影版：只因我們天生一對
63,鈦
64,在車上
65,記憶
66,麥特與麥斯
67,世界上最爛的人
68,瀕臨崩潰邊緣的女人 經典數位修復
69,詛咒
70,BJ單身日記
71,電影版 昨日的美食
72,該死的阿修羅
73,漂浪人生
74,SEVENTEEN POWER OF LOVE : THE MOVIE
75,重慶森林 4K數位修復版
76,深海獵奇
77,馬達加斯加：狐猴之島
78,最後的冰川
79,哈勃望遠鏡
80,回歸野性
81,捍衛戰士: 獨行俠
82,小小兵2:格魯的崛起
83,春日小戀曲
84,哈勇家
85,蜘蛛人：無家日 戲院加長版
86,神隱少女(日文版)
87,花樣年華 4K數位修復版
88,飯戲攻心
89,正發生
90,以你的名字呼喚我
91,大逃殺 4K數位修復版
92,如歌的行板
93,黑豹 2：瓦干達萬歲
94,2046 4K數位修復版
95,劇場版 歌之☆王子殿下♪ 真愛ST☆RISH TOURS
96,天空之城(日文版)
97,大熊貓(國語版)
98,海底世界(國語版)
99,一起一起
100,蘿拉快跑
101,朝聖之路：聖雅各
102,鬼搖靈2：陰語陣陣
103,鬼壓床了沒
104,劇場版 弦音 ─初始的一射─
105,灌籃高手 THE FIRST SLAM DUNK
106,日麗
107,霍爾的移動城堡
108,青春養成記
109,毒舌大狀
110,愛情美樂地
111,巫母
112,本日公休
113,投奔怒海
114,8釐米：詛咒影帶
115,小淘氣尼古拉：快樂的源頭
116,夏日悄悄話
117,魔女宅急便(日語版)
118,鬼玩人 4K數位修復版
119,四百擊
120,魯蛇大翻身
121,窄路微塵
122,神鬼第六感
123,收陰機
124,鷹勇潛艦
125,烈火焚身
126,BLUE GIANT 藍色巨星
127,蜘蛛人：穿越新宇宙
128,小行星城
129,小提琴天后慕特：愛樂一生
130,元素方城市(英文版)
131,不可能的任務：致命清算 第一章
132,暗湧情事
133,回不去的那座山
134,飛躍吧！金牌英雄
135,Barbie芭比
136,奧本海默
137,電影哆啦A夢：大雄與天空的理想鄉
138,假裝沒事
139,GT：跨界玩家
140,忍者龜：變種大亂鬥
141,一個人的朝聖
142,景深之中
143,親密（前編）
144,親密（後編）
145,四月物語：數位修復版
146,喜幹會
147,限時引爆
148,MAMAMOO：MY CON THE MOVIE
149,粽邪3 :鬼門開
150,私刑教育3
151,鬼修女II
152,劇場版 少女☆歌劇 Revue Starlight
153,換宿夜驚魂
154,威尼斯魅影謀殺案
155,德黑蘭雙面疑雲
156,岸邊露伴在羅浮
157,少女☆歌劇 Revue Starlight RONDO RONDO RONDO
158,我的天堂城市
159,自由之聲
160,偉大的十四世：達賴喇嘛
161,劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY2>
162,劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY1>
163,在旅途中：方濟各的朝聖之旅
164,奪魂鋸X
165,劇場版 PSYCHO-PASS 心靈判官 PROVIDENCE
166,觸不到的肌膚
167,他馬克老闆
168,汪汪隊立大功：超級大電影（國語版）
169,A.I.創世者
170,藍色情挑 經典數位修復
171,沒有國家的冠軍
172,大法師:信徒
173,塞納河上的船屋
174,蒼鷺與少年(日文版)
175,周處除三害
176,白色情迷 經典數位修復
177,少年Pi的奇幻漂流（英國國家劇院現場）
178,女鬼橋2：怨鬼樓
179,紅色情深 經典數位修復
180,雉岳山怪談
181,花月殺手
182,笨錢效應
183,杜巴利伯爵夫人
184,交響狂花
185,塵埃之書：野美人號（英國國家劇院現場）
186,佛萊迪餐館之五夜驚魂
187,超危險保鑣
188,新核能時代
189,野獸們
190,惡女
191,青春並不溫柔
192,日子
193,撼山河 撼向世界
194,鬼車站
195,困獸
196,泰勒絲 | 年代巡迴演唱會電影
197,小嫉妒
198,詭屋
199,我家的故事
200,戰場日記
201,驚奇隊長 2
202,琳達想吃雞!(中文版)
203,茱莉亞四重奏
204,電影版 勿說是推理
205,WOMEN 我們不知道的事
206,五月雪
207,車頂上的玄天上帝
208,天一亮，就想見到你
209,飢餓遊戲：鳴鳥與游蛇之歌
210,恐怖感恩劫
211,少男少女
212,野火蔓延時
213,拿破崙
214,下一球，勝利
215,阿爾及爾的末代王后
216,老狐狸
217,直線偏執狂（英國國家劇院現場）
218,海鷗 （英國國家劇院現場）
219,全羅道少年殺人事件
220,五月的35日
221,富都青年
222,無聲夜
223,壁花男孩
224,進化症候群
225,屍禁
226,花腐
227,BIG
228,夢行者保羅
229,旺卡(英文版)
230,水鬼
231,年少日記
232,魔髮精靈：樂團在一起 (國語版)
233,海豚男孩-國語版
234,歡迎來到駒田蒸餾所
235,鄰人Ｘ：謎樣的女子
236,小曉
237,絕地追擊
238,12.12：首爾之春
239,鬼6怨
240,夜校
241,超級救援狗
242,小行星獵人
243,青春 (春)
244,荒漠斷背情
245,青春豬頭少年不會夢到紅書包女孩
246,愛是一把槍
247,窗邊的小荳荳
248,水行俠 失落王國
249,愛在閃電下
250,餓之必要
251,巫術
252,送葬人
253,法拉利
254,贖罪日之戰
255,東尼瀧谷:數位經典版
256,寬鬆世代又怎樣：INTERNATIONAL
257,銀河鐵道之夜
258,千年決鬥
259,我的完美日常
260,日安，我的母親
261,赤心巔峰
262,初戀你我他
263,慾望之翼
264,星願(英文版)
265,電影版 淘氣小企鵝啵樂樂 超級明星大冒險(國語版)
266,情牽浮生戲
267,金手指
268,藍色的你
269,人犬
270,愛情轉移
271,春風勁草
272,潛行
273,魔法公主
274,坂本龍一：OPUS
275,紅豬
276,一一
277,鬼媽媽的假期
278,韓國都市恐怖怪談：詭手
279,巴赫曼-沙漠追愛之旅
280,怪胎女孩
281,叛諜檔案
282,魔籽公主
283,雙眼之間
284,月
285,搖滾吧！中二樂團
286,壞男孩
287,怒潮
288,鬼聲泣
289,妙想天開
290,爆裂點
291,露梁：死亡之海
292,蜂刑者
293,網紅教慾
294,少女與戰車 劇場版
295,細野晴臣：再會美國
296,消失的她
297,春光乍洩  4K數位修復版
298,美麗的聲音
299,戰火下的小狐狸
300,他的最後一個朋友
301,一個人的逃亡
302,貓王與我
303,我不是教你詐
304,SPY x FAMILY CODE: White
305,光之美少女電影 ALL STARS F
306,妖怪森林
307,魅舞
308,明天比昨天長久
309,邪惡根本不存在
310,一點一滴的死/長夜/一個女人生命中的三小時/山雨欲來
311,五福女孩/隔河/再見觸身/泳夜
312,注意看，這個女人⋯⋯/如果時間在此刻停下/我可以暫時逃跑一下嗎？
313,臨時劫案
314,劇場版 轉生成女性向遊戲只有毀滅 END 的壞人大小姐
315,金派特攻隊
316,邪妓
317,源生罪
318,醉鄉民謠
319,去唱卡拉OK吧！
320,情慾的界線
321,莫斯科行動
322,拯救嫌疑人
323,飛鴨向前衝
324,墜惡真相
325,還錢
326,機密特務:阿蓋爾
327,鬼太郎誕生：咯咯咯之謎
328,歡迎光臨黑手黨餐廳
329,愛愛愛上你
330,火上鍋
331,戰地琴人
332,在路上男情難未了
333,不完美的愛情革命
334,佩佩的電影派對（國語版）
335,"Fukuyama Masaharu Live Film Kotodama no Sakiwau Natsu ""Boy Meets The Music"" @Nippon Budokan 2023"
336,外星+人2：回到未來
337,七月返歸
338,夢想集中營
339,可憐的東西
340,《少女與戰車 最終章》 第４話
341,小子
342,蜘蛛夫人
343,再見機器人
344,天眼救援
345,鬼燭靈
346,上流誘惑
347,失控教室
348,日日好狗日
349,蓋世怪胎
350,鬼影直播
351,唐人街恰恰
352,給我個機會
353,「鬼滅之刃」 絆之奇蹟，邁向柱訓練
354,鐵道員
355,逆轉廢材人生
356,悲情城市
357,法庭遊戲
358,飯戲攻心2
359,沙丘：第二部
360,鬼怨偶
361,滯留生
362,師情化慾
363,雙面薇若妮卡 經典數位修復
364,極限長征
365,天使之心
366,破墓
367,BTOB
368,反貪風暴之加密危機
369,兩萬種蜜蜂
370,電影版 X光室的奇蹟
371,金門
372,尋找小津
373,不是你不愛你
374,北極百貨的秋乃小姐
375,青春18×2 通往有你的旅程
376,下女的誘惑 經典重映
377,城市時裝速記
378,伏慄熊
379,雷鬼之父：音樂無國界
380,尋找湯德章
381,笨鳥
382,雞蛋和石頭
383,惡獸之戰
384,最後一次的生日派對
385,盛夏最溫暖的初戀
386,詩
387,魔鬼剋星：冰天凍地
388,鬼聖胎
389,自由協議
390,看到靈魂的那隻眼 師公
391,（真）新的一天
392,功夫熊貓 4
393,GIVEN被贈與的未來劇場版：柊mix
394,但願人長久
395,哥吉拉與金剛 : 新帝國
396,Strike！娜英
397,鬼面女
398,填詞L
399,老橡樹酒館
400,老鬼當家
401,彼岸的真相
402,親愛的愛莉絲
403,特別總集篇 名偵探柯南 vs. 怪盜基德(日語版)
404,冰室蓮司：日本統一 台灣篇
405,蜜鑰
406,石門
407,超人力霸王布雷薩 THE MOVIE：大怪獸東京決戰
408,白晝如焚
409,屍咒
410,超危險警探
411,天魔：惡之初
412,劇場版 森林家族 來自芙蕾雅的禮物 中文版
413,莎莉
414,瓊拜雅：三重人格
415,電影版 吹響吧！上低音號～莉茲與青鳥～
416,東京公園
417,SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE
418,怪物樵夫
419,再愛一次
420,窒命危機
421,紀伯倫哈利勒：先知
422,禁忌之慾
423,無法融化的祕密
424,劇場版 排球少年!! 垃圾場的決戰
425,搬家 4K數位修復版
426,OUT
427,自戀男神
428,偶慾
429,非紳士特攻隊
430,機動戰士鋼彈 SEED FREEDOM
431,神鬼對決
432,盜墓奇美拉
433,噬血芭蕾
434,瑪格麗特戀習題
435,日安，朵朵
436,給我愛過的前任們
437,孤島診療所2022
438,鬼天廈
439,屍控大賣場
440,aespa: WORLD TOUR in Cinemas
441,特技玩家
442,愛離巢
443,不丹沒有槍
444,犯罪都市4
445,如果我可以冬眠
446,邪厄恩典
447,非關性愛
448,全境炸裂
449,背德迷情
450,帝國浩劫：美國內戰
451,錢不夠用3：全部夠用
452,大發明家
453,貓的報恩(日文版)
454,挑戰者
455,蜘蛛驚
456,少年的漂浪旅程
457,慾望的盡頭
458,長夜盡頭的微光
459,熊出沒．伴我“熊芯”
460,猩球崛起：王國誕生
461,惡鄰羅曼史
462,鬼妻塚
463,假面騎士 THE WINTER MOVIE- 葛查多 & GEATS 最強克米GOTCHA大作戰
464,短句之國
465,我在這裡等你
466,幻幻之交
467,Silent Love
468,夏日的文化洋行
469,全面監視
470,如果可以再死一次
471,九龍城寨之圍城
472,小熊維尼2：噬血維尼
473,滅世男孩
474,日落喜劇
475,鴉色刑事組電影版
476,魯邦三世 卡里奧斯特羅城 4K數位修復版
477,BLOODY ESCAPE：地獄的逃走劇
478,沉默筆錄
479,刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【前篇】
480,芙莉歐莎：瘋狂麥斯傳奇篇章
481,不存在的騎士
482,踹你死功夫
483,馬奎斯之愛與群魔
484,來世還作人
485,再見哥雅：卡葉爾與布紐爾的最後巡禮
