序號,國別,片名,上映日,出品,院數,總日數,總金額,總票數,首週票房,週末總票房
2660,美國,安雅的回家路,2020/03/13,13 FILMS  LLC,34,59,359371.0000,1963,264189.0000,241626.0000
2661,美國,每，一天,2018/03/02,METRO-GOLDWYN-MAYER STUDIOS INC.,12,19,354320.0000,1541,311505.0000,248080.0000
2662,美國,劊樂小丑2,2024/10/31,The Coven、 SASU,64,13,352834.0000,1447,296348.0000,224144.0000
2663,美國,尋找費里尼,2017/11/17,(匈牙利)FREEWAY ENTERTAINMENT KFT.,6,19,350750.0000,1696,243950.0000,189645.0000
2664,美國,獻給米其林的生命貴客,2016/11/04,CINETIC RIGHTS MANAGEMENT LLC D B、A FILMBUFF ("FILMBUFF"),6,28,344520.0000,1610,187270.0000,196610.0000
2665,美國,科洛弗10號地窖,2016/04/01,美國派拉蒙影片公司,10,35,343500.0000,4186,71990.0000,208800.0000
2666,美國,龐克經理人,2016/09/30,MAGNOLIA PICTURES,4,35,338835.0000,1511,198720.0000,164570.0000
2667,美國,剪刀手愛德華,1991/04/25,PARK CIRCUS LIMITED,14,34,337920.0000,1540,224805.0000,156120.0000
2668,美國,超／人：克里斯多夫李維傳奇故事,2024/11/01,WARNER BROS. PICTURES INTERNATIONAL.,19,12,330662.0000,1284,280083.0000,213240.0000
2669,美國,愛在午夜希臘時,2013/07/19,IM Global  LLC,4,34,328510.0000,1487,144005.0000,201445.0000
2670,美國,嚕嚕米冬日樂園,2018/02/14,GLOBAL GENESIS GROUP,11,29,326790.0000,1574,235480.0000,136825.0000
2671,美國,狸太怨,2024/08/16,RAVEN BANNER ENTERTAINMENT INC.,12,35,324024.0000,1378,173497.0000,164139.0000
2672,美國,詭謎藏,2022/04/01,RELAY MOTION KFT.,45,14,321906.0000,1390,308326.0000,168270.0000
2673,美國,殺戮基地,2022/07/29,RELAY MOTION KFT.,21,15,320209.0000,1390,296198.0000,222645.0000
2674,美國,哈利波特：死神的聖物II (數位2D版),2011/07/14,WARNER BROS. PICTURES INTERNATIONAL.,5,11,316890.0000,839,216410.0000,224080.0000
2675,美國,俠探特攻：驚爆獨立日,2023/03/10,RELAY MOTION KFT.,33,20,309112.0000,1307,288687.0000,197662.0000
2676,美國,馬友友與絲路音樂會,2016/09/14,ORCHARD ENTERPRISES NY  INC.,6,21,307808.0000,1437,193636.0000,143616.0000
2677,美國,少年PI的奇幻漂流,2012/11/21,BUENA VISTA INTERNATIONAL  INC.,71,19,307687.0000,1351,241778.0000,201387.0000
2678,美國,暗算,2018/08/31,FORTITUDE INTERNATIONAL INC.,9,56,303817.0000,1530,216807.0000,183227.0000
2679,美國,灰影地帶,2019/04/12,Radiant Films International,10,34,298989.0000,1489,197291.0000,186364.0000
2680,美國,光影帝國,2023/03/03,BUENA VISTA INTERNATIONAL  INC.,28,21,298261.0000,1350,230037.0000,172436.0000
2681,美國,大河戀：4K數位修復版,2017/11/10,(法國)PATHE FILMS S.A.S.,6,35,296230.0000,1442,180830.0000,150985.0000
2682,美國,深夜加油站遇見蘇格拉底,2023/06/09,Vantage Media International,LLC(VMI) ,15,27,294758.0000,1317,188653.0000
2683,美國,美麗人生,2017/05/12,MIRAMAX LLC,5,15,292735.0000,1440,190275.0000,172620.0000
2684,美國,男孩愛最大,2018/09/07,(英國)WESTEND FILMS LTD,13,15,292144.0000,1286,250830.0000,178679.0000
2685,美國,坂本龍一:async紐約現場,2018/07/13,(法國)DOC AND FILM INTERNATIONAL,13,33,286976.0000,1183,140176.0000,213906.0000
2686,美國,愛情瞎攪禍,2021/03/19,GEM ENTERTAINMENT KFT.,23,75,286661.0000,1411,218592.0000,181188.0000
2687,美國,紐約茶館,2020/08/28,HANWAY FILMS LIMITED,11,28,284035.0000,1386,198655.0000,158675.0000
2688,美國,瓊拜雅：三重人格,2024/04/05,Magnolia Pictures LLC,11,37,283941.0000,1236,148471.0000,137589.0000
2689,美國,去死吧！老闆,2018/06/01,OCTANE ENTERTAINMENT  INC.,13,14,283754.0000,1200,269854.0000,186944.0000
2690,美國,貝士浮生錄,2017/05/19,SLANG EAST WEST,3,17,279705.0000,1216,168085.0000,137120.0000
2691,美國,第六感追緝令 4K修復版,2021/08/13,StudioCanal S.A.S,12,14,273059.0000,1165,227519.0000,151379.0000
2692,美國,禁愛世界,2016/05/13,FIVE SPROCKET PRODUCTIONS  LLC.,25,36,266650.0000,1761,185725.0000,102965.0000
